cycle,aggresive,dominant,passive,submissive,batches_count
0,20,100,200,200,260
1,33,146,177,152,254
2,48,175,143,114,240
3,56,146,90,80,186
4,68,128,57,51,152
5,80,72,28,42,111
6,48,40,14,58,80
7,48,72,8,92,110
8,64,16,6,136,111
9,64,0,2,224,145
10,96,0,4,352,226
11,192,0,4,448,322
12,256,0,8,896,580
13,512,0,16,1792,1160
14,1024,0,0,1536,1280
15,1792,0,0,3072,2432
16,3584,0,0,6144,4864
17,6656,0,0,12288,9472
18,12800,0,0,24576,18688
19,25088,0,0,0,12544
20,25088,0,0,0,12544
21,25088,0,0,0,12544
22,25088,0,0,0,12544
23,25088,0,0,0,12544
24,25088,0,0,0,12544
25,25088,0,0,0,12544
26,25088,0,0,0,12544
27,25088,0,0,0,12544
28,25088,0,0,0,12544
29,25088,0,0,0,12544
